station_id,day,day_of_week,is_weekend,hour,is_peak_hour,passenger_count,delay_minutes
1,0,0,0,0,0,143,1.05
1,0,0,0,1,0,160,2.16
1,0,0,0,2,0,150,0.0
1,0,0,0,3,0,150,0.0
1,0,0,0,4,0,125,1.93
1,0,0,0,5,0,186,0.0
1,0,0,0,6,0,248,0.0
1,0,0,0,7,0,476,0.0
1,0,0,0,8,1,848,4.29
1,0,0,0,9,1,1327,5.9
1,0,0,0,10,1,901,2.83
1,0,0,0,11,1,480,3.34
1,0,0,0,12,0,263,0.1
1,0,0,0,13,0,162,0.41
1,0,0,0,14,0,169,0.67
1,0,0,0,15,0,239,1.54
1,0,0,0,16,0,398,3.23
1,0,0,0,17,1,969,5.67
1,0,0,0,18,1,1125,5.82
1,0,0,0,19,1,1016,1.69
1,0,0,0,20,1,842,2.56
1,0,0,0,21,0,395,0.26
1,0,0,0,22,0,221,1.09
1,0,0,0,23,0,182,2.06
1,1,1,0,0,0,168,1.8
1,1,1,0,1,0,154,0.0
1,1,1,0,2,0,138,2.2
1,1,1,0,3,0,155,0.0
1,1,1,0,4,0,174,0.0
1,1,1,0,5,0,186,1.19
1,1,1,0,6,0,235,0.83
1,1,1,0,7,0,544,3.37
1,1,1,0,8,1,999,4.5
1,1,1,0,9,1,1399,4.22
1,1,1,0,10,1,864,3.36
1,1,1,0,11,1,447,3.35
1,1,1,0,12,0,275,1.13
1,1,1,0,13,0,169,0.0
1,1,1,0,14,0,165,1.78
1,1,1,0,15,0,239,0.32
1,1,1,0,16,0,460,3.58
1,1,1,0,17,1,809,3.71
1,1,1,0,18,1,1227,5.17
1,1,1,0,19,1,1078,5.32
1,1,1,0,20,1,776,2.55
1,1,1,0,21,0,488,1.51
1,1,1,0,22,0,191,1.28
1,1,1,0,23,0,169,0.24
1,2,2,0,0,0,163,0.4
1,2,2,0,1,0,160,0.0
1,2,2,0,2,0,145,2.69
1,2,2,0,3,0,157,0.0
1,2,2,0,4,0,145,0.0
1,2,2,0,5,0,176,0.06
1,2,2,0,6,0,243,0.98
1,2,2,0,7,0,524,1.71
1,2,2,0,8,1,851,2.77
1,2,2,0,9,1,1131,4.51
1,2,2,0,10,1,947,2.06
1,2,2,0,11,1,473,3.05
1,2,2,0,12,0,240,3.04
1,2,2,0,13,0,196,2.87
1,2,2,0,14,0,164,0.77
1,2,2,0,15,0,233,2.32
1,2,2,0,16,0,503,3.32
1,2,2,0,17,1,793,2.62
1,2,2,0,18,1,1163,2.82
1,2,2,0,19,1,1153,3.24
1,2,2,0,20,1,832,3.09
1,2,2,0,21,0,429,0.39
1,2,2,0,22,0,236,1.78
1,2,2,0,23,0,189,1.55
1,3,3,0,0,0,174,4.5
1,3,3,0,1,0,153,0.3
1,3,3,0,2,0,139,2.34
1,3,3,0,3,0,173,0.0
1,3,3,0,4,0,167,2.49
1,3,3,0,5,0,177,1.98
1,3,3,0,6,0,260,0.0
1,3,3,0,7,0,547,4.18
1,3,3,0,8,1,945,2.35
1,3,3,0,9,1,1035,2.44
1,3,3,0,10,1,948,5.69
1,3,3,0,11,1,522,3.5
1,3,3,0,12,0,239,1.17
1,3,3,0,13,0,157,0.0
